#,"Date Time, GMT-07:00",Temp_F ,Temp_C,Light lum/ft2,Site,Method,Elevation
250,5/22/2023 4:00,55.537,13.07611111,0,Thorndyke,Ground Bag,Low
251,5/22/2023 4:15,55.537,13.07611111,0,Thorndyke,Ground Bag,Low
252,5/22/2023 4:30,55.537,13.07611111,0,Thorndyke,Ground Bag,Low
253,5/22/2023 4:45,55.189,12.88277778,0,Thorndyke,Ground Bag,Low
254,5/22/2023 5:00,55.017,12.78722222,0,Thorndyke,Ground Bag,Low
255,5/22/2023 5:15,55.017,12.78722222,0,Thorndyke,Ground Bag,Low
256,5/22/2023 5:30,54.842,12.69,0,Thorndyke,Ground Bag,Low
257,5/22/2023 5:45,54.669,12.59388889,0,Thorndyke,Ground Bag,Low
258,5/22/2023 6:00,54.669,12.59388889,2,Thorndyke,Ground Bag,Low
259,5/22/2023 6:15,54.495,12.49722222,6,Thorndyke,Ground Bag,Low
260,5/22/2023 6:30,54.495,12.49722222,12,Thorndyke,Ground Bag,Low
261,5/22/2023 6:45,54.322,12.40111111,14,Thorndyke,Ground Bag,Low
262,5/22/2023 7:00,54.147,12.30388889,18,Thorndyke,Ground Bag,Low
263,5/22/2023 7:15,53.973,12.20722222,25,Thorndyke,Ground Bag,Low
264,5/22/2023 7:30,53.798,12.11,31,Thorndyke,Ground Bag,Low
265,5/22/2023 7:45,54.147,12.30388889,47,Thorndyke,Ground Bag,Low
266,5/22/2023 8:00,53.973,12.20722222,53,Thorndyke,Ground Bag,Low
267,5/22/2023 8:15,53.973,12.20722222,53,Thorndyke,Ground Bag,Low
268,5/22/2023 8:30,54.495,12.49722222,107,Thorndyke,Ground Bag,Low
269,5/22/2023 8:45,53.798,12.11,65,Thorndyke,Ground Bag,Low
270,5/22/2023 9:00,54.322,12.40111111,152,Thorndyke,Ground Bag,Low
271,5/22/2023 9:15,54.495,12.49722222,102,Thorndyke,Ground Bag,Low
272,5/22/2023 9:30,54.322,12.40111111,240,Thorndyke,Ground Bag,Low
273,5/22/2023 9:45,55.017,12.78722222,224,Thorndyke,Ground Bag,Low
274,5/22/2023 10:00,55.711,13.17277778,368,Thorndyke,Ground Bag,Low
275,5/22/2023 10:15,56.057,13.365,336,Thorndyke,Ground Bag,Low
276,5/22/2023 10:30,58.993,14.99611111,320,Thorndyke,Ground Bag,Low
277,5/22/2023 10:45,60.712,15.95111111,168,Thorndyke,Ground Bag,Low
278,5/22/2023 11:00,67.05,19.47222222,104,Thorndyke,Ground Bag,Low
279,5/22/2023 11:15,72.199,22.33277778,128,Thorndyke,Ground Bag,Low
280,5/22/2023 11:30,70.651,21.47277778,128,Thorndyke,Ground Bag,Low
281,5/22/2023 11:45,77.05,25.02777778,176,Thorndyke,Ground Bag,Low
282,5/22/2023 12:00,76.528,24.73777778,144,Thorndyke,Ground Bag,Low
283,5/22/2023 12:15,84.654,29.25222222,208,Thorndyke,Ground Bag,Low
284,5/22/2023 12:30,75.484,24.15777778,97,Thorndyke,Ground Bag,Low
285,5/22/2023 12:45,69.107,20.615,95,Thorndyke,Ground Bag,Low
286,5/22/2023 13:00,73.926,23.29222222,160,Thorndyke,Ground Bag,Low
287,5/22/2023 13:15,79.502,26.39,176,Thorndyke,Ground Bag,Low
288,5/22/2023 13:30,72.891,22.71722222,110,Thorndyke,Ground Bag,Low
289,5/22/2023 13:45,74.791,23.77277778,144,Thorndyke,Ground Bag,Low
290,5/22/2023 14:00,79.853,26.585,144,Thorndyke,Ground Bag,Low
291,5/22/2023 14:15,78.098,25.61,111,Thorndyke,Ground Bag,Low
292,5/22/2023 14:30,70.48,21.37777778,75,Thorndyke,Ground Bag,Low
293,5/22/2023 14:45,69.793,20.99611111,79,Thorndyke,Ground Bag,Low
294,5/22/2023 15:00,70.48,21.37777778,68,Thorndyke,Ground Bag,Low
295,5/22/2023 15:15,68.248,20.13777778,31,Thorndyke,Ground Bag,Low
296,5/22/2023 15:30,66.193,18.99611111,22,Thorndyke,Ground Bag,Low
297,5/22/2023 15:45,61.569,16.42722222,14,Thorndyke,Ground Bag,Low
298,5/22/2023 16:00,60.883,16.04611111,6,Thorndyke,Ground Bag,Low
299,5/22/2023 16:15,59.164,15.09111111,4,Thorndyke,Ground Bag,Low
300,5/22/2023 16:30,58.476,14.70888889,3,Thorndyke,Ground Bag,Low
301,5/22/2023 16:45,58.303,14.61277778,2,Thorndyke,Ground Bag,Low
302,5/22/2023 17:00,58.303,14.61277778,2,Thorndyke,Ground Bag,Low
303,5/22/2023 17:15,57.268,14.03777778,0,Thorndyke,Ground Bag,Low
304,5/22/2023 17:30,56.404,13.55777778,0,Thorndyke,Ground Bag,Low
305,5/22/2023 17:45,55.711,13.17277778,2,Thorndyke,Ground Bag,Low
